,Country name,Total cases,Total deaths,Total recovered,Active cases,New cases,New deaths,Total tests,Population
124,Ghana,"171,780","1,462                                ","170,318",0,,,"2,538,052","32,395,450 "
125,Jamaica,"156,469","3,664                                ","103,191","49,614",,,"1,183,986","2,985,094 "
126,Cambodia,"138,948","3,056                                ","135,890",2,+1,,"3,091,420","17,168,639 "
127,Rwanda,"133,518","1,468                                ","132,039",11,,,"6,021,981","13,600,464 "
128,Cameroon,"125,205","1,974                                ","123,224",7,,,"1,751,774","27,911,548 "
129,Malta,"120,759",866                                ,"119,454",439,+22,+1,"2,157,067","444,033 "
130,Barbados,"110,235",641                                ,"108,647",947,,,"810,447","288,023 "
131,Angola,"105,978","1,936                                ","103,419",623,,,"1,499,795","35,027,343 "
132,Channel Islands,"101,717",228                                ,"101,321",168,,,"1,252,808","176,463 "
133,DRC,"99,181","1,468                                ","84,489","13,224",,,"846,704","95,240,792 "
134,French Guiana,"98,041",420                                ,"11,254","86,367",,,"651,257","314,169 "
135,Senegal,"89,022","1,971                                ","87,024",27,,,"1,146,543","17,653,671 "
136,Malawi,"88,986","2,686                                ","85,651",649,,,"624,784","20,180,839 "
137,Ivory Coast,"88,338",835                                ,"87,497",6,,,"1,690,934","27,742,298 "
138,Suriname,"82,588","1,408                                ",N/A,N/A,,,"242,207","596,831 "
139,New Caledonia,"80,064",314                                ,"79,605",145,,,"98,964","290,915 "
140,French Polynesia,"78,653",649                                ,N/A,N/A,,,,"284,164 "
141,Eswatini,"75,127","1,427                                ","73,116",584,,,"1,048,704","1,184,817 "
142,Guyana,"73,388","1,299                                ","72,013",76,,,"733,218","794,045 "
143,Belize,"71,060",688                                ,"70,085",287,,,"576,016","412,190 "
144,Fiji,"69,117",885                                ,"67,226","1,006",,,"672,883","909,466 "
145,Madagascar,"68,358","1,425                                ","66,862",71,,,"531,329","29,178,077 "
146,Cabo Verde,"64,477",417                                ,"63,755",305,,,"401,622","567,678 "
147,Sudan,"63,993","5,046                                ","58,947",0,,,"562,941","45,992,020 "
148,Mauritania,"63,774",997                                ,"62,471",306,,,"1,009,957","4,901,981 "
